Label_JD,Job Title,Location,Company,Job Type,Job Description
JD 35,Graphic Designer,"Kuching, Malaysia","Rocha, Barnett and Collins",Remote,"As a Graphic Designer, you will be responsible for leading teams. The ideal candidate should have strong technical knowledge and be passionate about IT. Join our dynamic team at Rocha, Barnett and Collins and contribute to shaping the future of the industry."
JD 36,Marketing Specialist,Singapore,"Martinez, Fitzpatrick and Davis",Temporary,"As a Marketing Specialist, you will be responsible for developing software. The ideal candidate should have strong technical knowledge and be passionate about Marketing. Join our dynamic team at Martinez, Fitzpatrick and Davis and contribute to delivering exceptional results."
JD 37,Civil Engineer,"Johor Bahru, Malaysia",Keller LLC,Contract,"As a Civil Engineer, you will be responsible for managing projects. The ideal candidate should have excellent communication skills and be passionate about Finance. Join our dynamic team at Keller LLC and contribute to building a better tomorrow."
JD 38,Customer Service Agent,"Pasir Ris, Singapore","Andrade, Rodriguez and Rogers",Contract,"We are looking for a dedicated Customer Service Agent to join our Marketing team at Andrade, Rodriguez and Rogers. Your role will involve analyzing data. If you have experience in proven experience, apply today and make a difference!"
JD 39,HR Manager,"Shah Alam, Malaysia",Perkins PLC,Remote,"We are looking for a dedicated HR Manager to join our Marketing team at Perkins PLC. Your role will involve building client relationships. If you have experience in proven experience, apply today and make a difference!"
JD 40,Customer Service Agent,"Seria, Brunei",Martinez-Burch,Full-time,"We are looking for a dedicated Customer Service Agent to join our Marketing team at Martinez-Burch. Your role will involve leading teams. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 41,UX Designer,"Kuching, Malaysia",Martin and Sons,Temporary,"We are looking for a dedicated UX Designer to join our Finance team at Martin and Sons. Your role will involve managing projects. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 42,Project Manager,"Shah Alam, Malaysia","Young, Kaufman and Miller",Temporary,"We are looking for a dedicated Project Manager to join our IT team at Young, Kaufman and Miller. Your role will involve analyzing data. If you have experience in excellent communication skills, apply today and make a difference!"
JD 43,UX Designer,Singapore,Perez-Guzman,Part-time,"As a UX Designer, you will be responsible for managing projects. The ideal candidate should have strong technical knowledge and be passionate about IT. Join our dynamic team at Perez-Guzman and contribute to delivering exceptional results."
JD 44,Customer Service Agent,"George Town, Malaysia",Jones Inc,Remote,"As a Customer Service Agent, you will be responsible for designing creative solutions. The ideal candidate should have strong technical knowledge and be passionate about Marketing. Join our dynamic team at Jones Inc and contribute to shaping the future of the industry."
JD 45,Project Manager,"Shah Alam, Malaysia",Smith Group,Temporary,"As a Project Manager, you will be responsible for managing projects. The ideal candidate should have a customer-oriented mindset and be passionate about IT. Join our dynamic team at Smith Group and contribute to building a better tomorrow."
JD 46,Graphic Designer,"Johor Bahru, Malaysia",Bell-Mack,Temporary,"We are looking for a dedicated Graphic Designer to join our Marketing team at Bell-Mack. Your role will involve leading teams. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 47,HR Manager,"Seria, Brunei","Dixon, Moore and Molina",Internship,"As a HR Manager, you will be responsible for leading teams. The ideal candidate should have proven experience and be passionate about Finance. Join our dynamic team at Dixon, Moore and Molina and contribute to delivering exceptional results."
JD 48,Marketing Specialist,"George Town, Malaysia","Dalton, Scott and Noble",Part-time,"As a Marketing Specialist, you will be responsible for designing creative solutions. The ideal candidate should have excellent communication skills and be passionate about Engineering. Join our dynamic team at Dalton, Scott and Noble and contribute to shaping the future of the industry."
JD 49,Sales Executive,"Kuala Lumpur, Malaysia",Hernandez-Andrews,Full-time,"As a Sales Executive, you will be responsible for developing software. The ideal candidate should have a degree in a relevant field and be passionate about Creative Design. Join our dynamic team at Hernandez-Andrews and contribute to shaping the future of the industry."
JD 50,Graphic Designer,"Johor Bahru, Malaysia",Mccarthy-Scott,Contract,"As a Graphic Designer, you will be responsible for managing projects. The ideal candidate should have strong technical knowledge and be passionate about IT. Join our dynamic team at Mccarthy-Scott and contribute to building a better tomorrow."
JD 51,Financial Analyst,"Kuala Lumpur, Malaysia",Walker-Hancock,Contract,"As a Financial Analyst, you will be responsible for leading teams. The ideal candidate should have strong technical knowledge and be passionate about Marketing. Join our dynamic team at Walker-Hancock and contribute to shaping the future of the industry."
JD 52,Graphic Designer,Singapore,Robinson-Kramer,Part-time,"As a Graphic Designer, you will be responsible for designing creative solutions. The ideal candidate should have proven experience and be passionate about Engineering. Join our dynamic team at Robinson-Kramer and contribute to building a better tomorrow."
JD 53,UX Designer,"Kuala Lumpur, Malaysia",Lee Ltd,Temporary,"As a UX Designer, you will be responsible for designing creative solutions. The ideal candidate should have a customer-oriented mindset and be passionate about Creative Design. Join our dynamic team at Lee Ltd and contribute to shaping the future of the industry."
JD 54,Data Analyst,"Kuala Lumpur, Malaysia",Torres-Ryan,Part-time,"We are looking for a dedicated Data Analyst to join our Marketing team at Torres-Ryan. Your role will involve analyzing data. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 55,Marketing Specialist,"Pasir Ris, Singapore",Shaw-Michael,Contract,"As a Marketing Specialist, you will be responsible for analyzing data. The ideal candidate should have strong technical knowledge and be passionate about Marketing. Join our dynamic team at Shaw-Michael and contribute to delivering exceptional results."
JD 56,Customer Service Agent,"Shah Alam, Malaysia","Medina, Roth and Brandt",Temporary,"We are looking for a dedicated Customer Service Agent to join our Engineering team at Medina, Roth and Brandt. Your role will involve developing software. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 57,Marketing Specialist,"Kuching, Malaysia",Harper-Chung,Remote,"As a Marketing Specialist, you will be responsible for building client relationships. The ideal candidate should have proven experience and be passionate about Engineering. Join our dynamic team at Harper-Chung and contribute to shaping the future of the industry."
JD 58,Project Manager,"Johor Bahru, Malaysia",Jones-Ramirez,Part-time,"As a Project Manager, you will be responsible for building client relationships. The ideal candidate should have strong technical knowledge and be passionate about Creative Design. Join our dynamic team at Jones-Ramirez and contribute to shaping the future of the industry."
JD 59,Financial Analyst,"Bandar Seri Begawan, Brunei",Scott and Sons,Internship,"As a Financial Analyst, you will be responsible for building client relationships. The ideal candidate should have proven experience and be passionate about Finance. Join our dynamic team at Scott and Sons and contribute to delivering exceptional results."
JD 60,Sales Executive,"Kuala Lumpur, Malaysia","Frost, Vaughn and Ellison",Temporary,"We are looking for a dedicated Sales Executive to join our Marketing team at Frost, Vaughn and Ellison. Your role will involve developing software. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 61,Customer Service Agent,"Johor Bahru, Malaysia","Kennedy, Bartlett and Ramirez",Remote,"As a Customer Service Agent, you will be responsible for analyzing data. The ideal candidate should have proven experience and be passionate about Engineering. Join our dynamic team at Kennedy, Bartlett and Ramirez and contribute to building a better tomorrow."
JD 62,Graphic Designer,"Pasir Ris, Singapore","Patterson, Williams and Frazier",Temporary,"We are looking for a dedicated Graphic Designer to join our Marketing team at Patterson, Williams and Frazier. Your role will involve managing projects. If you have experience in proven experience, apply today and make a difference!"
JD 63,Financial Analyst,"Shah Alam, Malaysia",Owen Inc,Part-time,"As a Financial Analyst, you will be responsible for analyzing data. The ideal candidate should have strong technical knowledge and be passionate about Finance. Join our dynamic team at Owen Inc and contribute to delivering exceptional results."
JD 64,Software Developer,"Pasir Ris, Singapore","West, Garcia and Bradley",Temporary,"We are looking for a dedicated Software Developer to join our IT team at West, Garcia and Bradley. Your role will involve designing creative solutions. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 65,Financial Analyst,"Pasir Ris, Singapore","Phelps, Jordan and Richards",Full-time,"We are looking for a dedicated Financial Analyst to join our IT team at Phelps, Jordan and Richards. Your role will involve analyzing data. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 66,Cybersecurity Specialist,"Bandar Seri Begawan, Brunei",Reeves-Mccoy,Internship,"We are looking for a dedicated Cybersecurity Specialist to join our Marketing team at Reeves-Mccoy. Your role will involve designing creative solutions. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 67,UX Designer,"George Town, Malaysia",Vaughn LLC,Full-time,"We are looking for a dedicated UX Designer to join our Engineering team at Vaughn LLC. Your role will involve developing software. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 68,Sales Executive,"Kuching, Malaysia",Wright Group,Remote,"We are looking for a dedicated Sales Executive to join our Marketing team at Wright Group. Your role will involve managing projects. If you have experience in proven experience, apply today and make a difference!"
JD 69,Sales Executive,"Shah Alam, Malaysia",Allen PLC,Full-time,"As a Sales Executive, you will be responsible for analyzing data. The ideal candidate should have proven experience and be passionate about Creative Design. Join our dynamic team at Allen PLC and contribute to delivering exceptional results."
JD 70,UX Designer,"Johor Bahru, Malaysia",Short Inc,Part-time,"As a UX Designer, you will be responsible for developing software. The ideal candidate should have proven experience and be passionate about Marketing. Join our dynamic team at Short Inc and contribute to shaping the future of the industry."
JD 71,Sales Executive,Singapore,Clark Inc,Remote,"As a Sales Executive, you will be responsible for designing creative solutions. The ideal candidate should have a customer-oriented mindset and be passionate about Engineering. Join our dynamic team at Clark Inc and contribute to shaping the future of the industry."
JD 72,Data Analyst,"Kuala Lumpur, Malaysia",Salinas Inc,Temporary,"We are looking for a dedicated Data Analyst to join our Finance team at Salinas Inc. Your role will involve designing creative solutions. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 73,Marketing Specialist,"Kuching, Malaysia","Nicholson, Richards and Moore",Full-time,"As a Marketing Specialist, you will be responsible for leading teams. The ideal candidate should have strong technical knowledge and be passionate about Engineering. Join our dynamic team at Nicholson, Richards and Moore and contribute to shaping the future of the industry."
JD 74,Sales Executive,"Johor Bahru, Malaysia",Lester-Miller,Remote,"As a Sales Executive, you will be responsible for managing projects. The ideal candidate should have proven experience and be passionate about Creative Design. Join our dynamic team at Lester-Miller and contribute to shaping the future of the industry."
JD 75,Civil Engineer,"Shah Alam, Malaysia","Hayes, Morton and Reyes",Part-time,"We are looking for a dedicated Civil Engineer to join our Marketing team at Hayes, Morton and Reyes. Your role will involve designing creative solutions. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 76,Sales Executive,Singapore,"Smith, Savage and Frank",Part-time,"As a Sales Executive, you will be responsible for developing software. The ideal candidate should have a customer-oriented mindset and be passionate about IT. Join our dynamic team at Smith, Savage and Frank and contribute to building a better tomorrow."
JD 77,Customer Service Agent,"Shah Alam, Malaysia","Mills, Hebert and Patel",Full-time,"As a Customer Service Agent, you will be responsible for analyzing data. The ideal candidate should have a degree in a relevant field and be passionate about Finance. Join our dynamic team at Mills, Hebert and Patel and contribute to delivering exceptional results."
JD 78,Financial Analyst,"Kuching, Malaysia","Clark, Parker and Cannon",Full-time,"We are looking for a dedicated Financial Analyst to join our Marketing team at Clark, Parker and Cannon. Your role will involve managing projects. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 79,Cybersecurity Specialist,"Pasir Ris, Singapore",Russell PLC,Internship,"We are looking for a dedicated Cybersecurity Specialist to join our Engineering team at Russell PLC. Your role will involve developing software. If you have experience in excellent communication skills, apply today and make a difference!"
JD 80,UX Designer,"Kuala Lumpur, Malaysia","Smith, Atkinson and Banks",Temporary,"We are looking for a dedicated UX Designer to join our Marketing team at Smith, Atkinson and Banks. Your role will involve analyzing data. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 81,Financial Analyst,"George Town, Malaysia",Gibson PLC,Temporary,"We are looking for a dedicated Financial Analyst to join our Creative Design team at Gibson PLC. Your role will involve designing creative solutions. If you have experience in excellent communication skills, apply today and make a difference!"
JD 82,Marketing Specialist,"Johor Bahru, Malaysia","Burgess, Johnson and Jones",Contract,"We are looking for a dedicated Marketing Specialist to join our Creative Design team at Burgess, Johnson and Jones. Your role will involve designing creative solutions. If you have experience in proven experience, apply today and make a difference!"
JD 83,Customer Service Agent,Singapore,"Pierce, Perez and Ward",Temporary,"As a Customer Service Agent, you will be responsible for designing creative solutions. The ideal candidate should have a customer-oriented mindset and be passionate about Marketing. Join our dynamic team at Pierce, Perez and Ward and contribute to building a better tomorrow."
JD 84,Financial Analyst,"Kuala Lumpur, Malaysia",Proctor-Castaneda,Internship,"As a Financial Analyst, you will be responsible for managing projects. The ideal candidate should have strong technical knowledge and be passionate about Engineering. Join our dynamic team at Proctor-Castaneda and contribute to delivering exceptional results."
JD 85,Project Manager,"Bandar Seri Begawan, Brunei",Curry-Smith,Part-time,"As a Project Manager, you will be responsible for developing software. The ideal candidate should have strong technical knowledge and be passionate about Creative Design. Join our dynamic team at Curry-Smith and contribute to building a better tomorrow."
JD 86,HR Manager,"Seria, Brunei",Parker Ltd,Contract,"As a HR Manager, you will be responsible for managing projects. The ideal candidate should have proven experience and be passionate about Finance. Join our dynamic team at Parker Ltd and contribute to delivering exceptional results."
JD 87,Civil Engineer,"Pasir Ris, Singapore",Morgan-Moore,Remote,"We are looking for a dedicated Civil Engineer to join our Marketing team at Morgan-Moore. Your role will involve managing projects. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 88,HR Manager,"Pasir Ris, Singapore","Gonzalez, Mcfarland and Mejia",Full-time,"As a HR Manager, you will be responsible for leading teams. The ideal candidate should have excellent communication skills and be passionate about IT. Join our dynamic team at Gonzalez, Mcfarland and Mejia and contribute to delivering exceptional results."
JD 89,Data Analyst,"Kuala Lumpur, Malaysia",Weaver-Schmidt,Temporary,"As a Data Analyst, you will be responsible for designing creative solutions. The ideal candidate should have strong technical knowledge and be passionate about Engineering. Join our dynamic team at Weaver-Schmidt and contribute to shaping the future of the industry."
JD 90,Data Analyst,Singapore,King PLC,Part-time,"As a Data Analyst, you will be responsible for analyzing data. The ideal candidate should have a degree in a relevant field and be passionate about Finance. Join our dynamic team at King PLC and contribute to shaping the future of the industry."
JD 91,Cybersecurity Specialist,"Johor Bahru, Malaysia",Haney-Ward,Part-time,"We are looking for a dedicated Cybersecurity Specialist to join our Creative Design team at Haney-Ward. Your role will involve building client relationships. If you have experience in excellent communication skills, apply today and make a difference!"
JD 92,Graphic Designer,"Kuala Lumpur, Malaysia",Patterson Group,Full-time,"As a Graphic Designer, you will be responsible for leading teams. The ideal candidate should have a degree in a relevant field and be passionate about Finance. Join our dynamic team at Patterson Group and contribute to building a better tomorrow."
JD 93,Data Analyst,"Bandar Seri Begawan, Brunei",Meadows PLC,Full-time,"As a Data Analyst, you will be responsible for managing projects. The ideal candidate should have proven experience and be passionate about Marketing. Join our dynamic team at Meadows PLC and contribute to delivering exceptional results."
JD 94,Financial Analyst,"Bandar Seri Begawan, Brunei",Adams Ltd,Remote,"As a Financial Analyst, you will be responsible for developing software. The ideal candidate should have a degree in a relevant field and be passionate about IT. Join our dynamic team at Adams Ltd and contribute to delivering exceptional results."
JD 95,Software Developer,"Kuching, Malaysia","Gordon, Martinez and Bishop",Part-time,"We are looking for a dedicated Software Developer to join our Finance team at Gordon, Martinez and Bishop. Your role will involve designing creative solutions. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 96,Civil Engineer,"George Town, Malaysia",Joyce PLC,Full-time,"We are looking for a dedicated Civil Engineer to join our Creative Design team at Joyce PLC. Your role will involve managing projects. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 97,Software Developer,"Bandar Seri Begawan, Brunei",Thomas-Gonzalez,Remote,"As a Software Developer, you will be responsible for designing creative solutions. The ideal candidate should have a degree in a relevant field and be passionate about Creative Design. Join our dynamic team at Thomas-Gonzalez and contribute to shaping the future of the industry."
JD 98,Customer Service Agent,"Johor Bahru, Malaysia",Rasmussen-Weaver,Contract,"As a Customer Service Agent, you will be responsible for managing projects. The ideal candidate should have a degree in a relevant field and be passionate about IT. Join our dynamic team at Rasmussen-Weaver and contribute to delivering exceptional results."
JD 99,Customer Service Agent,"George Town, Malaysia",Fowler-Petty,Temporary,"As a Customer Service Agent, you will be responsible for managing projects. The ideal candidate should have strong technical knowledge and be passionate about IT. Join our dynamic team at Fowler-Petty and contribute to shaping the future of the industry."
JD 100,Financial Analyst,Singapore,Craig LLC,Contract,"As a Financial Analyst, you will be responsible for analyzing data. The ideal candidate should have a customer-oriented mindset and be passionate about Engineering. Join our dynamic team at Craig LLC and contribute to shaping the future of the industry."
JD 101,Civil Engineer,Singapore,Clark-Hoover,Contract,"We are looking for a dedicated Civil Engineer to join our Engineering team at Clark-Hoover. Your role will involve managing projects. If you have experience in proven experience, apply today and make a difference!"
JD 102,Sales Executive,"Pasir Ris, Singapore",Smith and Sons,Contract,"We are looking for a dedicated Sales Executive to join our Creative Design team at Smith and Sons. Your role will involve developing software. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 103,Graphic Designer,"Bandar Seri Begawan, Brunei","Jimenez, Smith and Mullins",Contract,"We are looking for a dedicated Graphic Designer to join our Engineering team at Jimenez, Smith and Mullins. Your role will involve designing creative solutions. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 104,Financial Analyst,"Kuching, Malaysia",White-Graves,Part-time,"We are looking for a dedicated Financial Analyst to join our Engineering team at White-Graves. Your role will involve leading teams. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 105,Software Developer,"Kuching, Malaysia",Jones Inc,Full-time,"We are looking for a dedicated Software Developer to join our Engineering team at Jones Inc. Your role will involve analyzing data. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 106,HR Manager,Singapore,Burns-Williams,Temporary,"As a HR Manager, you will be responsible for leading teams. The ideal candidate should have a degree in a relevant field and be passionate about IT. Join our dynamic team at Burns-Williams and contribute to shaping the future of the industry."
JD 107,Data Analyst,"George Town, Malaysia",Watts PLC,Temporary,"As a Data Analyst, you will be responsible for developing software. The ideal candidate should have proven experience and be passionate about Marketing. Join our dynamic team at Watts PLC and contribute to delivering exceptional results."
JD 108,Cybersecurity Specialist,"Kuching, Malaysia",Olsen-Benson,Temporary,"As a Cybersecurity Specialist, you will be responsible for developing software. The ideal candidate should have excellent communication skills and be passionate about Creative Design. Join our dynamic team at Olsen-Benson and contribute to delivering exceptional results."
JD 109,Customer Service Agent,"Shah Alam, Malaysia",Byrd PLC,Remote,"As a Customer Service Agent, you will be responsible for leading teams. The ideal candidate should have strong technical knowledge and be passionate about Finance. Join our dynamic team at Byrd PLC and contribute to shaping the future of the industry."
JD 110,Project Manager,"George Town, Malaysia",Brown-Ferguson,Temporary,"As a Project Manager, you will be responsible for managing projects. The ideal candidate should have strong technical knowledge and be passionate about IT. Join our dynamic team at Brown-Ferguson and contribute to delivering exceptional results."
JD 111,Cybersecurity Specialist,"Kuching, Malaysia","Watson, Smith and Perez",Temporary,"As a Cybersecurity Specialist, you will be responsible for building client relationships. The ideal candidate should have excellent communication skills and be passionate about Marketing. Join our dynamic team at Watson, Smith and Perez and contribute to building a better tomorrow."
JD 112,Financial Analyst,Singapore,"Dixon, Nelson and Wilson",Contract,"As a Financial Analyst, you will be responsible for designing creative solutions. The ideal candidate should have strong technical knowledge and be passionate about Engineering. Join our dynamic team at Dixon, Nelson and Wilson and contribute to delivering exceptional results."
JD 113,Marketing Specialist,"Seria, Brunei","Hall, Green and Allen",Remote,"We are looking for a dedicated Marketing Specialist to join our Creative Design team at Hall, Green and Allen. Your role will involve designing creative solutions. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 114,Civil Engineer,"Shah Alam, Malaysia","Jackson, Jackson and Miles",Part-time,"We are looking for a dedicated Civil Engineer to join our Engineering team at Jackson, Jackson and Miles. Your role will involve leading teams. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 115,Marketing Specialist,"Johor Bahru, Malaysia",Liu Inc,Internship,"We are looking for a dedicated Marketing Specialist to join our IT team at Liu Inc. Your role will involve designing creative solutions. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 116,UX Designer,"George Town, Malaysia",Johnson Group,Contract,"We are looking for a dedicated UX Designer to join our Engineering team at Johnson Group. Your role will involve developing software. If you have experience in a customer-oriented mindset, apply today and make a difference!"
